userName,score,at,content
Aisyah Nf,1,2024-08-27 03:36:16,"Sistem pembelian korannya tidak bisa beli satuan, dan tidak ada keterangan bahwa koran tanggal sebelumnya tidak dapat diakses."
Andi Arsyad,1,2024-08-27 02:43:23,Nggak sesuai dengan tampilan produk
Clarita Lalita,5,2024-08-25 16:12:23,"Overall, aplikasinya bagus, ga ada bug, ukuran aplikasi juga ga besar, harga buku terjangkau dan ada banyak buku yang bisa diakses secara gratis. Ukuran hurufnya pas serta bisa diperbesar dan diperkecil dari layar. Hanya saja saat proses membeli buku, saya tidak bisa menyambungkan akun Dana ke aplikasi ini padahal saya sudah melakukan apa yang diarahkan oleh aplikasi. Jadi bagi saya lebih mudah melakukan transaksi melalui versi webnya. Tolong diperbaiki fiturnya ya. Terima kasih."
Dhono Nugroho,2,2024-08-22 15:05:02,aktivasi ulang tidak bisa
hendi Imagination,5,2024-08-19 04:14:51,mudah dan murah
Arie Sulistyawan,5,2024-08-19 03:55:58,good
Es Buah,2,2024-08-15 10:49:38,Mahal gak ada bedanya ama buku fisik
facrul pattilouw,4,2024-08-15 04:46:20,apakah aplikasi bisa di instal di PC juga ya?
Bambang Syairudin,5,2024-08-14 20:15:29,Sangat praktis dan sangat bermanfaat
anisa oktaviani,3,2024-08-06 12:48:06,"Harga bersahabat, cuman fitur membaca nya kurang nyaman dan tidak konsisten. Fitur mengubah font tidak tersedia untuk semua buku, hanya sedikit. Tampilan halamannya otomatis ke halaman terupdate berdasarkan progress (bukan halaman terakhir kita tutup), jadi harus menyesuaikan manual. Tidak ada fasilitas insert pages harus geser kursor halaman, kurang efektif. Semoga aplikasi cepat diupdate terutama fitur ukuran font untuk semua buku, sehingga bisa memberikan pengalaman membaca yg lebih nyaman."
Im Potatoe Chips,2,2024-08-03 23:21:00,"Lagi asyik baca suka susah di geser halaman, sering keluar sendiri juga. Cukup sekali aja, karena saya lagi pingin baca wishlist yang antrian nya panjang di perpus online 😊"
